저널 IF 랭킹 600,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Fractional Calculus and Applied Analysis,FRACT CALC APPL ANAL,SPRINGERNATURE,1311-0454,1314-2224,"MATHEMATICS, APPLIED",3.1,20/345,0.057971014492753624,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
FUZZY SETS AND SYSTEMS,FUZZY SET SYST,ELSEVIER,0165-0114,1872-6801,"MATHEMATICS, APPLIED",3.1,20/345,0.057971014492753624,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,INT J ROBUST NONLIN,WILEY,1049-8923,1099-1239,"MATHEMATICS, APPLIED",3.1,20/345,0.057971014492753624,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
EPJ Data Science,EPJ DATA SCI,SPRINGER,,2193-1127,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3.1,29/137,0.2116788321167883,가능 (RSU/차량 간 분산 데이터 처리 아키텍처 강조)
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INT J ELECTRON C,ELSEVIER GMBH,1434-8411,1618-0399,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.1,167/369,0.45257452574525747,가능 (통신 시스템/알고리즘 기여도 어필)
Journal of Infrared Millimeter and Terahertz Waves,J INFRARED MILLIM TE,SPRINGER,1866-6892,1866-6906,"ENGINEERING, ELECTRICAL & ELECTRONIC",3.1,167/369,0.45257452574525747,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Journal of Fuzzy Systems,INT J FUZZY SYST,SPRINGER HEIDELBERG,1562-2479,2199-3211,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.1,135/266,0.5075187969924813,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Forensic Science International-Digital Investigation,FORENS SCI INT-DIGIT,ELSEVIER SCI LTD,,2666-2817,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.1,135/266,0.5075187969924813,가능 (세부 논문 방향에 따라 융합 포장 필요)
Transport,TRANSPORT-VILNIUS,VILNIUS GEDIMINAS TECH UNIV,1648-4142,1648-3480,TRANSPORTATION SCIENCE & TECHNOLOGY,3.1,42/80,0.525,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,SPRINGER,0921-0296,1573-0409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.1,114/210,0.5428571428571428,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Applied Mathematics and Computing,J APPL MATH COMPUT,SPRINGER HEIDELBERG,1598-5865,1865-2085,"MATHEMATICS, APPLIED",3,25/345,0.07246376811594203,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE,ANN I H POINCARE-AN,EUROPEAN MATHEMATICAL SOC-EMS,0294-1449,1873-1430,"MATHEMATICS, APPLIED",3,25/345,0.07246376811594203,가능 (세부 논문 방향에 따라 융합 포장 필요)
Bayesian Analysis,BAYESIAN ANAL,INT SOC BAYESIAN ANALYSIS,1931-6690,1936-0975,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",3,31/137,0.22627737226277372,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE MICROWAVE MAGAZINE,IEEE MICROW MAG,IEEE,1527-3342,1557-9581,"ENGINEERING, ELECTRICAL & ELECTRONIC",3,171/369,0.4634146341463415,가능 (서베이/매거진 형식으로 작성)
INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,INT J IMAG SYST TECH,WILEY,0899-9457,1098-1098,"ENGINEERING, ELECTRICAL & ELECTRONIC",3,171/369,0.4634146341463415,가능 (세부 논문 방향에 따라 융합 포장 필요)
Machines,MACHINES,MDPI,,2075-1702,"ENGINEERING, ELECTRICAL & ELECTRONIC",3,171/369,0.4634146341463415,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF THE ACM,J ACM,ASSOC COMPUTING MACHINERY,0004-5411,1557-735X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3,139/266,0.5225563909774437,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE MULTIMEDIA,IEEE MULTIMEDIA,IEEE COMPUTER SOC,1070-986X,1941-0166,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3,139/266,0.5225563909774437,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
INFORMATION SYSTEMS MANAGEMENT,INFORM SYST MANAGE,TAYLOR & FRANCIS INC,1058-0530,1934-8703,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3,139/266,0.5225563909774437,가능 (네트워크 구조의 비즈니스적/관리적 효율성 강조)
JOURNAL OF COMMUNICATIONS AND NETWORKS,J COMMUN NETW-S KOR,KOREAN INST COMMUNICATIONS SCIENCES (K I C S),1229-2370,1976-5541,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3,139/266,0.5225563909774437,적합
CONNECTION SCIENCE,CONNECT SCI,TAYLOR & FRANCIS LTD,0954-0091,1360-0494,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3,117/210,0.5571428571428572,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Transactions on Games,IEEE T GAMES,IEEE,2475-1502,2475-1510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3,117/210,0.5571428571428572,가능 (세부 논문 방향에 따라 융합 포장 필요)
COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0885-2308,1095-8363,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3,117/210,0.5571428571428572,불일치 (자연어/음성 처리 주력)
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,MATH MOD METH APPL S,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-2025,1793-6314,"MATHEMATICS, APPLIED",2.9,27/345,0.0782608695652174,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
SIAM JOURNAL ON SCIENTIFIC COMPUTING,SIAM J SCI COMPUT,SIAM PUBLICATIONS,1064-8275,1095-7197,"MATHEMATICS, APPLIED",2.9,27/345,0.0782608695652174,가능 (통신 시스템/알고리즘 기여도 어필)
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,SPRINGER,0003-9527,1432-0673,"MATHEMATICS, APPLIED",2.9,27/345,0.0782608695652174,불일치 (전산 역학/음향 물리 주력)
PHYSICA D-NONLINEAR PHENOMENA,PHYSICA D,ELSEVIER,0167-2789,1872-8022,"MATHEMATICS, APPLIED",2.9,27/345,0.0782608695652174,가능 (세부 논문 방향에 따라 융합 포장 필요)
FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,FRACTALS,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-348X,1793-6543,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.9,32/137,0.23357664233576642,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
PSYCHOMETRIKA,PSYCHOMETRIKA,CAMBRIDGE UNIV PRESS,0033-3123,1860-0980,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.9,32/137,0.23357664233576642,가능 (세부 논문 방향에 따라 융합 포장 필요)
Applied Mathematics in Science and Engineering,APPL MATH SCI ENG,TAYLOR & FRANCIS LTD,,2769-0911,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.9,32/137,0.23357664233576642,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,CMES-COMP MODEL ENG,TECH SCIENCE PRESS,1526-1492,1526-1506,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.9,32/137,0.23357664233576642,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Power & Energy Magazine,IEEE POWER ENERGY M,IEEE,1540-7977,1558-4216,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.9,174/369,0.4715447154471545,가능 (서베이/매거진 형식으로 작성)
IEEE Journal of the Electron Devices Society,IEEE J ELECTRON DEVI,IEEE,2168-6734,2168-6734,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.9,174/369,0.4715447154471545,불일치 (반도체/전자 소자 하드웨어 주력)
Electronics,ELECTRONICS-SWITZ,MDPI,2079-9292,2079-9292,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.9,174/369,0.4715447154471545,가능 (세부 논문 방향에 따라 융합 포장 필요)
Flexible and Printed Electronics,FLEX PRINT ELECTRON,IOP Publishing Ltd,2058-8585,2058-8585,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.9,174/369,0.4715447154471545,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Transportation Engineering Part B-Pavements,J TRANSP ENG B-PAVE,ASCE-AMER SOC CIVIL ENGINEERS,,2573-5438,TRANSPORTATION SCIENCE & TECHNOLOGY,2.9,43/80,0.5375,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
Human-centric Computing and Information Sciences,HUM-CENT COMPUT INFO,Korea Computer Industry Assoc-KCIA,,2192-1962,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.9,143/266,0.5375939849624061,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE SECURITY & PRIVACY,IEEE SECUR PRIV,IEEE COMPUTER SOC,1540-7993,1558-4046,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.9,143/266,0.5375939849624061,가능 (세부 논문 방향에 따라 융합 포장 필요)
PeerJ Computer Science,PEERJ COMPUT SCI,PEERJ INC,,2376-5992,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.9,143/266,0.5375939849624061,가능 (통신 시스템/알고리즘 기여도 어필)
Cognitive Systems Research,COGN SYST RES,ELSEVIER,2214-4366,1389-0417,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.9,121/210,0.5761904761904761,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Journal of Interactive Multimedia and Artificial Intelligence,INT J INTERACT MULTI,UNIV INT RIOJA-UNIR,1989-1660,1989-1660,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.9,121/210,0.5761904761904761,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
International Journal of Machine Learning and Cybernetics,INT J MACH LEARN CYB,SPRINGER HEIDELBERG,1868-8071,1868-808X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.9,121/210,0.5761904761904761,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Journal of Numerical Mathematics,J NUMER MATH,WALTER DE GRUYTER GMBH,1570-2820,1569-3953,"MATHEMATICS, APPLIED",2.8,32/345,0.0927536231884058,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IET Optoelectronics,IET OPTOELECTRON,WILEY,1751-8768,1751-8776,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.8,180/369,0.4878048780487805,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Computational Electronics,J COMPUT ELECTRON,SPRINGER,1569-8025,1572-8137,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.8,180/369,0.4878048780487805,가능 (세부 논문 방향에 따라 융합 포장 필요)
IET Generation Transmission & Distribution,IET GENER TRANSM DIS,WILEY,1751-8687,1751-8695,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.8,180/369,0.4878048780487805,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF ELECTRONIC MATERIALS,J ELECTRON MATER,SPRINGER,0361-5235,1543-186X,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.8,180/369,0.4878048780487805,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TECHNOLOGY AND SOCIETY MAGAZINE,IEEE TECHNOL SOC MAG,IEEE,0278-0097,1937-416X,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.8,180/369,0.4878048780487805,가능 (서베이/매거진 형식으로 작성)
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,ACADEMIC PRESS INC ELSEVIER SCIENCE,1047-3203,1095-9076,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.8,149/266,0.5601503759398496,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
MULTIMEDIA SYSTEMS,MULTIMEDIA SYST,SPRINGER,0942-4962,1432-1882,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.8,149/266,0.5601503759398496,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
Information Retrieval Journal,INFORM RETRIEVAL J,SPRINGER,1386-4564,1573-7659,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.8,149/266,0.5601503759398496,가능 (통신 시스템/알고리즘 기여도 어필)
China Communications,CHINA COMMUN,CHINA INST COMMUNICATIONS,1673-5447,,TELECOMMUNICATIONS,2.8,72/127,0.5669291338582677,가능 (통신 시스템/알고리즘 기여도 어필)
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,ELSEVIER SCIENCE INC,0888-613X,1873-4731,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.8,126/210,0.6,가능 (세부 논문 방향에 따라 융합 포장 필요)
NEURAL PROCESSING LETTERS,NEURAL PROCESS LETT,SPRINGER,1370-4621,1573-773X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.8,126/210,0.6,가능 (세부 논문 방향에 따라 융합 포장 필요)
Applied Mathematics Letters,APPL MATH LETT,PERGAMON-ELSEVIER SCIENCE LTD,0893-9659,1873-5452,"MATHEMATICS, APPLIED",2.7,33/345,0.09565217391304348,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
COMPUTERS & MATHEMATICS WITH APPLICATIONS,COMPUT MATH APPL,PERGAMON-ELSEVIER SCIENCE LTD,0898-1221,1873-7668,"MATHEMATICS, APPLIED",2.7,33/345,0.09565217391304348,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,FOUND COMPUT MATH,SPRINGER,1615-3375,1615-3383,"MATHEMATICS, APPLIED",2.7,33/345,0.09565217391304348,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Spatial Statistics,SPAT STAT-NETH,ELSEVIER SCI LTD,2211-6753,,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.7,36/137,0.26277372262773724,가능 (세부 논문 방향에 따라 융합 포장 필요)
NONLINEAR PROCESSES IN GEOPHYSICS,NONLINEAR PROC GEOPH,COPERNICUS GESELLSCHAFT MBH,1023-5809,1607-7946,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.7,36/137,0.26277372262773724,가능 (세부 논문 방향에 따라 융합 포장 필요)
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,INT J QUANTUM CHEM,WILEY,0020-7608,1097-461X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.7,36/137,0.26277372262773724,불일치 (의료/생명과학 주력)
OPTICAL FIBER TECHNOLOGY,OPT FIBER TECHNOL,ELSEVIER SCIENCE INC,1068-5200,1095-9912,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.7,186/369,0.5040650406504065,가능 (세부 논문 방향에 따라 융합 포장 필요)
EURASIP Journal on Audio Speech and Music Processing,EURASIP J AUDIO SPEE,SPRINGER,1687-4714,1687-4722,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.7,186/369,0.5040650406504065,불일치 (자연어/음성 처리 주력)
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,IEEE T DEVICE MAT RE,IEEE,1530-4388,1558-2574,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.7,186/369,0.5040650406504065,가능 (세부 논문 방향에 따라 융합 포장 필요)
ELECTRICAL ENGINEERING,ELECTR ENG,SPRINGER,0948-7921,1432-0487,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.7,186/369,0.5040650406504065,가능 (세부 논문 방향에 따라 융합 포장 필요)
Signal Image and Video Processing,SIGNAL IMAGE VIDEO P,SPRINGER LONDON LTD,1863-1703,1863-1711,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.7,186/369,0.5040650406504065,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
IET Intelligent Transport Systems,IET INTELL TRANSP SY,WILEY,1751-956X,1751-9578,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.7,186/369,0.5040650406504065,가능 (세부 논문 방향에 따라 융합 포장 필요)
INFORMATION TECHNOLOGY AND LIBRARIES,INFORM TECHNOL LIBR,AMER LIBRARY ASSOC,0730-9295,2163-5226,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.7,152/266,0.5714285714285714,가능 (통신 시스템/알고리즘 기여도 어필)
Navigation-Journal of the Institute of Navigation,NAVIGATION-US,Inst Navigation - ION,0028-1522,2161-4296,TELECOMMUNICATIONS,2.7,75/127,0.5905511811023622,가능 (세부 논문 방향에 따라 융합 포장 필요)
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM T ASIAN LOW-RESO,ASSOC COMPUTING MACHINERY,2375-4699,2375-4702,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.7,129/210,0.6142857142857143,가능 (통신 시스템/알고리즘 기여도 어필)
Forum of Mathematics Pi,FORUM MATH PI,CAMBRIDGE UNIV PRESS,2050-5086,2050-5086,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
JOURNAL OF SCIENTIFIC COMPUTING,J SCI COMPUT,SPRINGER/PLENUM PUBLISHERS,0885-7474,1573-7691,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (통신 시스템/알고리즘 기여도 어필)
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,J MATH PURE APPL,ELSEVIER,0021-7824,1776-3371,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,APPL COMPUT HARMON A,ACADEMIC PRESS INC ELSEVIER SCIENCE,1063-5203,1096-603X,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM JOURNAL ON OPTIMIZATION,SIAM J OPTIMIZ,SIAM PUBLICATIONS,1052-6234,1095-7189,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,SIAM J MATRIX ANAL A,SIAM PUBLICATIONS,0895-4798,1095-7162,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (세부 논문 방향에 따라 융합 포장 필요)
ADVANCES IN COMPUTATIONAL MATHEMATICS,ADV COMPUT MATH,SPRINGER,1019-7168,1572-9044,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,SPRINGER,0938-8974,1432-1467,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM JOURNAL ON CONTROL AND OPTIMIZATION,SIAM J CONTROL OPTIM,SIAM PUBLICATIONS,0363-0129,1095-7138,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IEEE TRANSACTIONS ON INFORMATION THEORY,IEEE T INFORM THEORY,IEEE,0018-9448,1557-9654,"MATHEMATICS, APPLIED",2.6,37/345,0.1072463768115942,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE Photonics Journal,IEEE PHOTONICS J,IEEE,1943-0655,1943-0647,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,194/369,0.5257452574525745,불일치 (양자/광학 물리 주력)
INTEGRATION-THE VLSI JOURNAL,INTEGRATION,ELSEVIER,0167-9260,1872-7522,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,194/369,0.5257452574525745,가능 (세부 논문 방향에 따라 융합 포장 필요)
Nano Communication Networks,NANO COMMUN NETW,ELSEVIER,1878-7789,1878-7797,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,194/369,0.5257452574525745,적합
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,IEEE T ELECTROMAGN C,IEEE,0018-9375,1558-187X,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,194/369,0.5257452574525745,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Transactions on Electrical Energy Systems,INT T ELECTR ENERGY,WILEY,2050-7038,2050-7038,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,194/369,0.5257452574525745,불일치 (배터리/전력망/에너지 하드웨어 주력)
Journal of Systems Engineering and Electronics,J SYST ENG ELECTRON,"SYSTEMS ENGINEERING & ELECTRONICS, EDITORIAL DEPT",1004-4132,1004-4132,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.6,194/369,0.5257452574525745,가능 (세부 논문 방향에 따라 융합 포장 필요)
Semantic Web,SEMANT WEB,SAGE PUBLICATIONS INC,1570-0844,2210-4968,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.6,155/266,0.5827067669172933,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF INFORMATION SCIENCE,J INF SCI,SAGE PUBLICATIONS LTD,0165-5515,1741-6485,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.6,155/266,0.5827067669172933,가능 (통신 시스템/알고리즘 기여도 어필)
Transactions on Emerging Telecommunications Technologies,T EMERG TELECOMMUN T,WILEY,2161-3915,2161-3915,TELECOMMUNICATIONS,2.6,78/127,0.6141732283464567,적합
PATTERN ANALYSIS AND APPLICATIONS,PATTERN ANAL APPL,SPRINGER,1433-7541,1433-755X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.6,130/210,0.6190476190476191,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
Journal on Multimodal User Interfaces,J MULTIMODAL USER IN,SPRINGER,1783-7677,1783-8738,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.6,130/210,0.6190476190476191,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM Journal on Mathematics of Data Science,SIAM J MATH DATA SCI,SIAM PUBLICATIONS,,2577-0187,"MATHEMATICS, APPLIED",2.5,48/345,0.1391304347826087,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
NUMERICAL ALGORITHMS,NUMER ALGORITHMS,SPRINGER,1017-1398,1572-9265,"MATHEMATICS, APPLIED",2.5,48/345,0.1391304347826087,가능 (세부 논문 방향에 따라 융합 포장 필요)
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,SPRINGER,0926-6003,1573-2894,"MATHEMATICS, APPLIED",2.5,48/345,0.1391304347826087,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,SIAM PUBLICATIONS,1936-4954,1936-4954,"MATHEMATICS, APPLIED",2.5,48/345,0.1391304347826087,가능 (세부 논문 방향에 따라 융합 포장 필요)
IMA Journal of Management Mathematics,IMA J MANAG MATH,OXFORD UNIV PRESS,1471-678X,1471-6798,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.5,40/137,0.291970802919708,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IEEE TRANSACTIONS ON EDUCATION,IEEE T EDUC,IEEE,0018-9359,1557-9638,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,가능 (세부 논문 방향에 따라 융합 포장 필요)
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,ELSEVIER,0141-9331,1872-9436,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,가능 (세부 논문 방향에 따라 융합 포장 필요)
WIRELESS NETWORKS,WIREL NETW,SPRINGER,1022-0038,1572-8196,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,적합
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,IEEE T SEMICONDUCT M,IEEE,0894-6507,1558-2345,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,가능 (스마트 팩토리/산업용 IoT 인프라로 환경 설정)
CIRCUITS SYSTEMS AND SIGNAL PROCESSING,CIRC SYST SIGNAL PR,SPRINGER BIRKHAUSER,0278-081X,1531-5878,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,불일치 (반도체/전자 소자 하드웨어 주력)
IEEE TRANSACTIONS ON NANOTECHNOLOGY,IEEE T NANOTECHNOL,IEEE,1536-125X,1941-0085,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF MICROMECHANICS AND MICROENGINEERING,J MICROMECH MICROENG,IOP Publishing Ltd,0960-1317,1361-6439,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,불일치 (전산 역학/음향 물리 주력)
EURASIP Journal on Wireless Communications and Networking,EURASIP J WIREL COMM,SPRINGER,1687-1472,1687-1499,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,적합
MICROELECTRONICS RELIABILITY,MICROELECTRON RELIAB,PERGAMON-ELSEVIER SCIENCE LTD,0026-2714,1872-941X,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.5,204/369,0.5528455284552846,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Transportation Engineering Part A-Systems,J TRANSP ENG A-SYST,ASCE-AMER SOC CIVIL ENGINEERS,2473-2907,2473-2893,TRANSPORTATION SCIENCE & TECHNOLOGY,2.5,47/80,0.5875,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
GEOINFORMATICA,GEOINFORMATICA,SPRINGER,1384-6175,1573-7624,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.5,159/266,0.5977443609022557,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Journal of Network Management,INT J NETW MANAG,WILEY,1055-7148,1099-1190,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.5,159/266,0.5977443609022557,적합
Natural Language Engineering,NAT LANG ENG,CAMBRIDGE UNIV PRESS,1351-3249,1469-8110,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.5,134/210,0.638095238095238,가능 (세부 논문 방향에 따라 융합 포장 필요)
Swarm Intelligence,SWARM INTELL-US,SPRINGER,1935-3812,1935-3820,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.5,134/210,0.638095238095238,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
Memetic Computing,MEMET COMPUT,SPRINGER HEIDELBERG,1865-9284,1865-9292,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.5,134/210,0.638095238095238,가능 (통신 시스템/알고리즘 기여도 어필)
